20.00cm
1152
1144
1144
1151
1150
1150
1150
1151
1150
1144
1150
1145
1151
1151
1151
1151
1150
1150
1151
1150
1151
1144
1151
1151
1151
1150
1150
1150
1144
1151
1150
1145
1151
1150
1151
1150
1150
1150
1145
1151
1151
1150
1150
1150
1150
1151
1151
1151
1145
1150
1150
1151
1151
1150
1150
1145
1151
1150
1145
1151
1150
1150
1150
1150
1150
1145
1151
1150
1151
1151
1150
1151
1150
1151
1151
1145
1151
1150
1151
1150
1151
1150
1151
1151
1150
1145
1151
1150
1150
1151
1151
1151
1145
1151
1151
1144
1150
1151
1151
1150
1151
1151
1151
1151
1150
1151
1151
1151
1151
1151
1150
1151
1144
1151
1151
1151
1151
1151
1151
1145
1151
1151
1145
1151
1150
1151
1150
1151
1150
1145
1151
1151
1151
1151
1150
1151
1150
1151
1151
1145
1150
1151
1151
1151
1151
1150
1150
1150
1151
1145
1151
1151
1151
1151
1151
1151
1144
1151
1151
1145
1151
1151
1151
1150
1151
1150
1145
1151
1151
1151
1151
1150
1150
1151
1150
1150
1144
1150
1150
1150
1150
1150
1150
1144
1150
1151
1145
1151
1150
1151
1151
1151
1150
1145
1151
1151
1151
1150
1151
1151
1151
1151
1143
1145
1151
1151
1151
1150
1151
1151
1150
1151
1151
1145
1151
1151
1151
1151
1151
1151
1144
1151
1151
1145
1151
1151
1150
1151
1150
1151
1144
1150
1150
1151
1151
1151
1151
1151
1151
1151
1145
1151
1151
1151
1151
1151
1151
1144
1150
1151
1145
1151
1151
1151
1151
1150
1150
1144
1151
1151
1151
1150
1151
1150
1151
1151
1151
1145
1151
1150
1150
1151
1150
1151
1150
1150
1151
1144
1150
1150
1151
1151
1151
1151
1145
1151
1151
1145
1151
1151
1151
1151
1151
1151
1145
1151
1151
1151
1151
1151
1151
1151
1151
1151
1145
1150
1150
1151
1151
1151
1151
1145
1151
1151
1144
1151
1151
1151
1151
1151
1151
1144
1151
1150
1151
1151
1150
1151
1151
1150
1151
1145
1151
1151
1151
1151
1151
1150
1150
1151
1151
1145
1151
1151
1151
1151
1151
1151
1144
1151
1151
1150
1151
1151
1151
1151
1150
1151
1145
1151
1151
1151
1150
1151
1151
1151
1151
1151
1145
1150
1151
1151
1151
1151
1150
1145
1151
1150
1145
1151
1150
1150
1151
1151
1151
1145
1150
1151
1151
1150
1151
1150
1150
1151
1151
1145
1150
1150
1150
1150
1150
1150
1150
1150
1151
1144
1151
1151
1151
1151
1150
1151
1144
1150
1150
1145
1151
1151
1151
1150
1150
1150
1145
1151
1151
1151
1151
1151
1151
1151
1150
1151
1145
1151
1150
1150
1151
1150
1151
1145
1150
1151
1144
1151
1151
1150
1151
1151
1151
1144
1151
1151
1151
1151
1150
1150
1151
1150
1151
1144
1150
1150
1151
1151
1151
1151
1150
1150
1150
1145
1150
1150
1151
1151
1151
1150
1145
1151
1150
1145
1150
1151
1150
1151
1151
1151
1145
1151
1151
1151
1151
1150
1151
1151
1151
1151
1144
1150
1151
1151
1151
1151
1151
1145
1151
1151
1145
1151
1150
1150
1150
1150
1151
1145
1150
1151
1150
1151
1151
1151
1151
1151
1151
1145
1151
1150
1150
1150
1151
1150
1151
1151
1151
1145
1150
1151
1151
1150
1150
1150
1145
1150
1151
1144
1150
1151
1151
1150
1151
1150
1144
1145
1147
1151
1150
1151
1151
1150
1150
1150
1144
1150
1150
1150
1151
1150
1151
1145
1151
1150
1144
1151
1151
1150
1150
1151
1151
1145
1150
1151
1150
1150
1150
1151
1150
1151
1150
1144
1151
1151
1150
1150
1150
1151
1151
1151
1151
1145
1150
1150
1151
1151
1151
1150
1144
1151
1150
1144
1150
1151
1151
1151
1151
1150
1144
1151
1151
1151
1151
1150
1151
1150
1151
1150
1144
1151
1150
1151
1151
1151
1150
1144
1151
1150
1145
1151
1151
1151
1151
1151
1151
1145
1150
1151
1151
1150
1151
1151
1151
1151
1150
1142
1151
1150
1151
1151
1151
1151
1151
1151
1150
1145
1151
1151
1150
1151
1150
1151
1145
1151
1151
1145
1151
1151
1150
1150
1150
1151
1144
1150
1150
1150
1150
1150
1150
1150
1151
1151
1144
1150
1151
1151
1151
1151
1151
1145
1151
1151
1145
1150
1151
1150
1142
1151
1151
1144
1151
1151
1150
1150
1150
1151
1151
1151
1150
1145
1151
1150
1150
1151
1150
1150
1151
1150
1150
1144
1151
1150
1150
1150
1151
1151
1145
1151
1151
1144
1150
1151
1151
1151
1151
1150
1145
1150
1151
1151
1151
1150
1151
1151
1150
1150
1151
1150
1151
1151
1151
1150
1151
1144
1151
1151
1144
1150
1150
1150
1150
1150
1150
1144
1150
1151
1150
1150
1151
1150
1151
1150
1151
1144
1151
1151
1151
1150
1150
1150
1150
1151
1151
1145
1151
1151
1151
1151
1151
1151
1145
1151
1151
1145
1151
1144
1137
1151
1151
1151
1145
1151
1151
1150
1151
1151
1151
1150
1150
1151
1145
1150
1151
1150
1151
1151
1150
1145
1151
1151
1144
1150
1151
1151
1150
1150
1151
1144
1150
1150
1150
1151
1150
1151
1151
1151
1151
1145
1151
1150
1151
1151
1150
1150
1151
1144
1144
1144
1151
1150
1151
1151
1150
1151
1145
1150
1150
1145
1150
1150
1150
1151
1151
1151
1145
1150
1150
1151
1151
1151
1150
1150
1151
1150
1145
1150
1151
1151
1150
1150
1150
1145
1151
1151
1145
1151
1151
1151
1150
1151
1151
1145
1150
1151
1150
1150
1150
1150
1151
1151
1151
1144
1150
1150
1151
1151
1150
1150
1151
1150
1150
1144
1150
1150
1151
1151
1151
1151
1144
1150
1151
1145
1150
1150
1151
1151
1151
1151
1145
1151
1150
1151
1151
1151
1151
1151
1150
1150
1144
1150
1150
1151
1151
1150
1150
1151
1150
1151
1144
1151
1150
1150
1151
1150
1150
1144
1151
1150
1151
1151
1150
1150
1151
1151
1150
1145
1150
1151
1151
1150
1150
1151
1151
1150
1150
1145
1150
1151
1150
1151
1150
1150
1145
1151
1151
1144
1151
1151
1150
1151
1151
1151
1144
1151
