
(temperature external 9degrees internal temperature 21 degrees.)

Current angle: 0
Accelerometer:  | Z = 12576
Accelerometer:  | Z = 12536
Accelerometer:  | Z = 12728
Accelerometer:  | Z = 12744
Accelerometer:  | Z = 12468
Accelerometer:  | Z = 11984
Accelerometer:  | Z = 12584
Accelerometer:  | Z = 12512
Accelerometer:  | Z = 12472
Accelerometer:  | Z = 12540
Accelerometer:  | Z = 12388
Accelerometer:  | Z = 12464
Accelerometer:  | Z = 12584
|Average: 12554.00


Current angle: 360
Accelerometer:  | Z = 15728
Accelerometer:  | Z = 15736
Accelerometer:  | Z = 15656
Accelerometer:  | Z = 15748
Accelerometer:  | Z = 15552
Accelerometer:  | Z = 15668
Accelerometer:  | Z = 15680
Accelerometer:  | Z = 15588
Accelerometer:  | Z = 15608
Accelerometer:  | Z = 15568
Accelerometer:  | Z = 15648
Accelerometer:  | Z = 15724
Accelerometer:  | Z = 15660
Accelerometer:  | Z = 15632
Accelerometer:  | Z = 15604
Accelerometer:  | Z = 15664
Accelerometer:  | Z = 15528
Accelerometer:  | Z = 15796
Accelerometer:  | Z = 15668
Accelerometer:  | Z = 15640
|Average: 15654.80

Current angle: 396
Accelerometer:  | Z = 12148
Accelerometer:  | Z = 12180
Accelerometer:  | Z = 12312
Accelerometer:  | Z = 12096
Accelerometer:  | Z = 12272
Accelerometer:  | Z = 12220
Accelerometer:  | Z = 12280
Accelerometer:  | Z = 12304
Accelerometer:  | Z = 12132
Accelerometer:  | Z = 12224
Accelerometer:  | Z = 12092
Accelerometer:  | Z = 12104
Accelerometer:  | Z = 12264
Accelerometer:  | Z = 12216
Accelerometer:  | Z = 12208
Accelerometer:  | Z = 12216
Accelerometer:  | Z = 12288
Accelerometer:  | Z = 12192
Accelerometer:  | Z = 12136
Accelerometer:  | Z = 12256
|Average: 12207.00

Current angle: 432
Accelerometer:  | Z = 3584
Accelerometer:  | Z = 3576
Accelerometer:  | Z = 3636
Accelerometer:  | Z = 3628
Accelerometer:  | Z = 3584
Accelerometer:  | Z = 3644
Accelerometer:  | Z = 3432
Accelerometer:  | Z = 3620
Accelerometer:  | Z = 3556
Accelerometer:  | Z = 3524
Accelerometer:  | Z = 3496
Accelerometer:  | Z = 3556
Accelerometer:  | Z = 3644
Accelerometer:  | Z = 3572
Accelerometer:  | Z = 3576
Accelerometer:  | Z = 3568
Accelerometer:  | Z = 3624
Accelerometer:  | Z = 3632
Accelerometer:  | Z = 3488
Accelerometer:  | Z = 3596
|Average: 3576.80

Current angle: 468
Accelerometer:  | Z = -6604
Accelerometer:  | Z = -6784
Accelerometer:  | Z = -6644
Accelerometer:  | Z = -6768
Accelerometer:  | Z = -6796
Accelerometer:  | Z = -6556
Accelerometer:  | Z = -6732
Accelerometer:  | Z = -6720
Accelerometer:  | Z = -6816
Accelerometer:  | Z = -6808
Accelerometer:  | Z = -6708
Accelerometer:  | Z = -6668
Accelerometer:  | Z = -6796
Accelerometer:  | Z = -6684
Accelerometer:  | Z = -6708
Accelerometer:  | Z = -6728
Accelerometer:  | Z = -6676
Accelerometer:  | Z = -6792
Accelerometer:  | Z = -6636
Accelerometer:  | Z = -6616
|Average: -6712.00

Current angle: 504
Accelerometer:  | Z = -14976
Accelerometer:  | Z = -14880
Accelerometer:  | Z = -14872
Accelerometer:  | Z = -14824
Accelerometer:  | Z = -14876
Accelerometer:  | Z = -14876
Accelerometer:  | Z = -14900
Accelerometer:  | Z = -14916
Accelerometer:  | Z = -14900
Accelerometer:  | Z = -14892
Accelerometer:  | Z = -14920
Accelerometer:  | Z = -14872
Accelerometer:  | Z = -14940
Accelerometer:  | Z = -14852
Accelerometer:  | Z = -14928
Accelerometer:  | Z = -14828
Accelerometer:  | Z = -14856
Accelerometer:  | Z = -14864
Accelerometer:  | Z = -14872
Accelerometer:  | Z = -14968
|Average: -14890.60

Current angle: 540
Accelerometer:  | Z = -17480
Accelerometer:  | Z = -17564
Accelerometer:  | Z = -17664
Accelerometer:  | Z = -17448
Accelerometer:  | Z = -17596
Accelerometer:  | Z = -17488
Accelerometer:  | Z = -17464
Accelerometer:  | Z = -17504
Accelerometer:  | Z = -17476
Accelerometer:  | Z = -17572
Accelerometer:  | Z = -17580
Accelerometer:  | Z = -17524
Accelerometer:  | Z = -17532
Accelerometer:  | Z = -17492
Accelerometer:  | Z = -17552
Accelerometer:  | Z = -17620
Accelerometer:  | Z = -17388
Accelerometer:  | Z = -17584
Accelerometer:  | Z = -17528
Accelerometer:  | Z = -17384
|Average: -17522.0

Current angle: 576
Accelerometer:  | Z = -13916
Accelerometer:  | Z = -14008
Accelerometer:  | Z = -13992
Accelerometer:  | Z = -13972
Accelerometer:  | Z = -14108
Accelerometer:  | Z = -13920
Accelerometer:  | Z = -14040
Accelerometer:  | Z = -13984
Accelerometer:  | Z = -13892
Accelerometer:  | Z = -13888
Accelerometer:  | Z = -13928
Accelerometer:  | Z = -13892
Accelerometer:  | Z = -13952
Accelerometer:  | Z = -13928
Accelerometer:  | Z = -13908
Accelerometer:  | Z = -13988
Accelerometer:  | Z = -13908
Accelerometer:  | Z = -14056
Accelerometer:  | Z = -14048
Accelerometer:  | Z = -13920
|Average: -13962.40

Current angle: 612
Accelerometer:  | Z = -6464
Accelerometer:  | Z = -6488
Accelerometer:  | Z = -6248
Accelerometer:  | Z = -6444
Accelerometer:  | Z = -6472
Accelerometer:  | Z = -6336
Accelerometer:  | Z = -6424
Accelerometer:  | Z = -6260
Accelerometer:  | Z = -6332
Accelerometer:  | Z = -6312
Accelerometer:  | Z = -6424
Accelerometer:  | Z = -6344
Accelerometer:  | Z = -6264
Accelerometer:  | Z = -6348
Accelerometer:  | Z = -6320
Accelerometer:  | Z = -6360
Accelerometer:  | Z = -6444
Accelerometer:  | Z = -6356
Accelerometer:  | Z = -6324
Accelerometer:  | Z = -6316
|Average: -6364.00

Current angle: 648
Accelerometer:  | Z = 3856
Accelerometer:  | Z = 3852
Accelerometer:  | Z = 3872
Accelerometer:  | Z = 3768
Accelerometer:  | Z = 3836
Accelerometer:  | Z = 3784
Accelerometer:  | Z = 3776
Accelerometer:  | Z = 3704
Accelerometer:  | Z = 3900
Accelerometer:  | Z = 3704
Accelerometer:  | Z = 3784
Accelerometer:  | Z = 3760
Accelerometer:  | Z = 3780
Accelerometer:  | Z = 3828
